year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5,Cb_Dakar
2004,6,1,22,30,12.26,-10.02,11.28,-10.38,14,-5,14,-5,14,-5,1417,1470,0,0,0,1500,22625,0,0,0,263.1,263.41,430,430,430,0
2004,6,1,23,0,11.14,-10.6,12.26,-10.15,14,-5,14,-5,14,-5,8959,14886,0,0,0,27100,2000,0,0,0,257.71,258.36,430,430,430,0
2004,6,1,23,15,10.96,-10.74,12.31,-10.11,12.04,-10.29,14,-5,14,-5,14298,3240,8719,0,0,475,28275,1475,0,0,256.32,256.76,259.94,430,430,0
2004,6,1,23,30,12.08,-10.24,11.14,-11.01,12.4,-10.11,14,-5,14,-5,13018,9535,16325,0,0,29950,2900,2900,0,0,245.46,257.85,258.72,430,430,0
2004,6,2,0,0,11.05,-11.19,12.17,-10.29,10.29,-11.64,14,-5,14,-5,5503,8239,7745,0,0,35225,2225,775,0,0,242.33,243.94,254.61,430,430,0
2004,6,2,0,15,10.83,-11.37,11.55,-11.14,10.33,-11.73,14,-5,14,-5,11655,13823,8551,0,0,3475,3375,31525,0,0,235.26,240.35,240.74,430,430,0
2004,6,2,0,30,11.64,-11.37,10.74,-11.55,14,-5,14,-5,14,-5,6436,7499,0,0,0,1925,34400,0,0,0,226.77,237.5,430,430,430,0
2004,6,2,0,45,10.51,-10.83,10.38,-11.82,11.77,-11.37,14,-5,14,-5,12894,3198,1845,0,0,650,17150,20725,0,0,225.4,236.62,261.82,430,430,0
2004,6,2,1,0,10.47,-10.83,10.2,-11.91,14,-5,14,-5,14,-5,11828,6008,0,0,0,26150,21875,0,0,0,238.19,262.93,430,430,430,0
2004,6,2,1,15,11.19,-11.01,11.73,-10.06,10.42,-10.87,14,-5,14,-5,4903,12095,9141,0,0,550,7825,4350,0,0,244.97,262.67,266.85,430,430,0
2004,6,2,1,30,11.19,-11.05,10.56,-10.83,14,-5,14,-5,14,-5,10033,13892,0,0,0,1125,2325,0,0,0,244.1,261.55,430,430,430,0
2004,6,2,1,45,10.6,-10.78,11.14,-11.05,14,-5,14,-5,14,-5,15706,11139,0,0,0,1000,700,0,0,0,244.6,261.31,430,430,430,0
2004,6,2,2,0,11.28,-10.02,11.1,-11.01,14,-5,14,-5,14,-5,12804,11275,0,0,0,925,1475,0,0,0,246.47,274.21,430,430,430,0
2004,6,2,2,15,11.23,-10.11,11.05,-11.01,10.42,-11.41,14,-5,14,-5,11894,14770,9399,0,0,175,9250,11525,0,0,246.97,247.2,272.37,430,430,0
2004,6,2,2,30,11.23,-10.11,10.74,-11.37,10.2,-12.53,14,-5,14,-5,12891,10085,8907,0,0,14900,6375,13375,0,0,222.04,242.42,272.37,430,430,0
2004,6,2,2,45,11.23,-10.15,10.47,-12.85,10.74,-11.37,14,-5,14,-5,11767,12563,5968,0,0,10425,4275,14300,0,0,207.89,242.42,270.57,430,430,0
2004,6,2,3,15,10.38,-13.07,11.37,-10.06,10.56,-11.5,14,-5,14,-5,13057,21399,18163,0,0,5650,325,12200,0,0,204.5,241.81,272.04,430,430,0
2004,6,2,3,30,11.41,-10.11,10.29,-13.21,14,-5,14,-5,14,-5,20835,14819,0,0,0,1150,11800,0,0,0,204.04,269.39,430,430,430,0
2004,6,2,5,15,10.02,-11.55,10.06,-12.89,14,-5,14,-5,14,-5,9826,7557,0,0,0,6650,2100,0,0,0,216.67,251.86,430,430,430,0
2004,6,2,5,45,10.2,-12.8,10.11,-12,14,-5,14,-5,14,-5,10298,11950,0,0,0,4750,1425,0,0,0,215.72,237.93,430,430,430,0
2004,6,2,6,15,10.15,-12.98,10.02,-13.7,14,-5,14,-5,14,-5,10282,6968,0,0,0,2625,5600,0,0,0,200.64,212.43,430,430,430,0
2004,6,2,6,30,10.2,-12.8,10.11,-13.7,14,-5,14,-5,14,-5,8666,8535,0,0,0,1650,5300,0,0,0,198.21,215.72,430,430,430,0
2004,6,2,6,45,10.24,-12.8,10.47,-13.52,14,-5,14,-5,14,-5,8289,8245,0,0,0,2650,4650,0,0,0,192.31,215,430,430,430,0
2004,6,2,7,0,10.51,-13.57,10.15,-12.89,14,-5,14,-5,14,-5,681,7339,0,0,0,3075,1600,0,0,0,190.26,214.45,430,430,430,0
2004,6,2,8,45,10.33,-14.96,10.78,-14.96,14,-5,14,-5,14,-5,10421,9668,0,0,0,2300,500,0,0,0,155.31,169.06,430,430,430,0
2004,6,2,9,0,10.96,-14.38,10.78,-14.96,14,-5,14,-5,14,-5,10542,3502,0,0,0,2575,475,0,0,0,155.31,161.01,430,430,430,0
2004,6,2,9,15,11.05,-14.38,10.47,-15.27,10.78,-14.96,14,-5,14,-5,10701,932,6802,0,0,3400,900,800,0,0,155.31,158.6,160.85,430,430,0
2004,6,2,9,30,11.1,-14.42,10.87,-14.96,14,-5,14,-5,14,-5,9783,9089,0,0,0,5925,1525,0,0,0,152.69,156.4,430,430,430,0
2004,6,2,9,45,10.92,-15,11.19,-14.42,10.65,-15.36,14,-5,14,-5,660,10727,4500,0,0,2925,2450,1375,0,0,150.84,153.63,154.01,430,430,0
2004,6,2,10,0,11.28,-14.42,10.69,-15.36,11.01,-15.05,14,-5,14,-5,7664,6349,7097,0,0,2150,950,2600,0,0,146.86,151.65,152.71,430,430,0
2004,6,2,10,15,11.14,-15.05,10.74,-15.36,11.37,-14.42,14,-5,14,-5,1373,9945,9647,0,0,1150,150,2525,0,0,143.39,149.16,150.88,430,430,0
2004,6,2,10,30,10.83,-15.41,11.23,-15.09,14,-5,14,-5,14,-5,8042,6485,0,0,0,425,2875,0,0,0,139.43,147.33,430,430,430,0
