year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5,Cb_Bamako_t1,Cb_Bamako_t2,Cb_Bamako_t3
2004,6,1,15,30,12.62,-4.9,14.06,0.31,12.6392,6.9971,12.6392,6.9971,12.6392,6.9971,135.0,1432.0,0.0,0.0,0.0,6425,12600,0,0.0,0.0,110.0,302.33,520.0,520.0,520.0,0.0,1.0,0.0
2004,6,1,15,45,12.62,-4.85,13.66,0.94,13.79,0.27,12.6392,6.9971,12.6392,6.9971,248.0,1182.0,803.0,0.0,0.0,2150,12625,1975,0.0,0.0,112.0,298.83,322.13,520.0,520.0,0.0,1.0,1.0
2004,6,1,16,0,12.67,-4.85,13.75,0.94,13.84,0.13,12.6392,6.9971,12.6392,6.9971,270.0,1173.0,1113.0,0.0,0.0,6600,14850,775,0.0,0.0,112.0,294.16,322.49,520.0,520.0,0.0,1.0,1.0
2004,6,1,16,15,12.62,-4.94,14.65,0.81,13.84,0.04,14.51,-0.0,12.6392,6.9971,438.0,1570.0,1816.0,440.0,0.0,8850,11750,1450,475.0,0.0,109.0,291.19,294.72,322.9,520.0,0.0,1.0,1.0
2004,6,1,16,30,12.67,-4.94,12.94,-4.27,14.73,0.85,13.79,-0.09,12.6392,6.9971,348.0,384.0,1452.0,877.0,0.0,8825,1950,10775,475.0,0.0,109.0,133.45,285.95,325.52,520.0,0.0,1.0,1.0
2004,6,1,16,45,11.37,-5.44,12.89,-4.0,14.42,-0.32,12.67,-4.99,13.75,-0.18,59.0,499.0,417.0,466.0,1996.0,4200,8625,4325,500.0,6775.0,100.62,107.0,143.28,282.12,282.84,0.0,1.0,1.0
2004,6,1,17,0,11.41,-5.44,12.94,-3.96,12.08,-3.78,12.71,-5.03,10.2,-7.73,1892.0,85.0,797.0,398.0,513.0,23950,9350,9400,4675.0,2100.0,87.28,100.18,106.04,144.42,151.2,1.0,1.0,1.0
2004,6,1,17,15,11.46,-5.39,12.98,-3.96,12.04,-3.91,12.71,-4.85,10.11,-7.86,1148.0,215.0,698.0,538.0,559.0,25800,6575,9750,4600.0,7350.0,91.02,101.13,112.04,144.5,146.51,1.0,1.0,1.0
2004,6,1,17,30,12.0,-4.09,11.5,-5.35,12.98,-3.91,12.8,-5.17,13.75,-0.86,1034.0,927.0,604.0,979.0,3549.0,9650,7175,11100,3525.0,9975.0,101.18,101.24,140.89,146.58,259.11,1.0,1.0,1.0
2004,6,1,17,45,12.08,-8.22,12.13,-4.0,11.5,-5.35,12.8,-5.21,10.06,-8.13,66.0,2153.0,1051.0,1004.0,534.0,21075,35875,9075,8300.0,16650.0,21.93,92.35,99.18,101.24,143.14,1.0,1.0,1.0
2004,6,1,18,0,12.13,-8.18,11.86,-4.63,12.8,-5.35,10.02,-8.31,11.5,-5.35,121.0,634.0,836.0,1072.0,124.0,11000,2400,29150,9475.0,7175.0,19.31,94.19,95.19,101.24,122.25,1.0,1.0,1.0
2004,6,1,18,15,12.17,-8.18,11.41,-5.8,12.76,-5.71,11.86,-4.72,10.02,-8.45,124.0,1181.0,633.0,2379.0,1197.0,12400,925,8975,47675.0,25525.0,18.38,82.1,88.68,95.9,119.1,1.0,0.0,1.0
2004,6,1,18,30,12.0,-8.94,12.13,-8.27,11.41,-5.84,12.49,-4.72,10.65,-7.91,242.0,114.0,3111.0,1083.0,1786.0,6325,14375,13800,7800.0,31850.0,20.59,42.44,71.01,86.95,117.11,1.0,0.0,1.0
2004,6,1,18,45,12.04,-8.85,11.82,-3.69,11.46,-5.8,12.58,-4.81,10.6,-8.18,252.0,2230.0,1528.0,1614.0,638.0,11050,13500,6650,34250.0,2875.0,38.01,73.55,87.71,114.02,155.72,1.0,1.0,1.0
2004,6,1,19,0,12.04,-8.81,12.71,-4.85,11.82,-3.64,12.4,-4.05,10.6,-8.31,350.0,3377.0,1494.0,1984.0,1663.0,12500,12825,42225,150.0,2800.0,37.2,74.33,112.04,141.23,157.69,1.0,1.0,0.0
2004,6,1,19,15,12.04,-8.72,12.22,-5.17,10.56,-8.4,10.02,-8.9,10.65,-7.1,216.0,2485.0,3740.0,3654.0,1341.0,13875,12550,1225,24875.0,42925.0,34.83,76.9,77.08,100.3,101.12,1.0,1.0,0.0
2004,6,1,19,30,11.5,-5.48,12.04,-8.72,12.26,-5.3,10.56,-8.54,10.78,-7.68,206.0,4472.0,2638.0,1931.0,39.0,15125,12900,12900,29625.0,3575.0,34.83,66.61,78.16,96.88,97.08,1.0,1.0,0.0
