year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5,Cb_Selibaby_t1,Cb_Selibaby_t2,Cb_Selibaby_t3
2004,6,1,16,30,12.67,-4.94,12.94,-4.27,15.1506,2.8195999999999994,15.1506,2.8195999999999994,15.1506,2.8195999999999994,348.0,384.0,0.0,0.0,0.0,8825,1950,0,0.0,0.0,265.0,285.04,520.0,520.0,520.0,0.0,0.0,0.0
2004,6,1,16,45,11.37,-5.44,12.89,-4.0,12.67,-4.99,15.1506,2.8195999999999994,15.1506,2.8195999999999994,499.0,59.0,417.0,0.0,0.0,8625,4200,4325,0.0,0.0,263.11,266.43,295.22,520.0,520.0,0.0,0.0,0.0
2004,6,1,17,0,11.41,-5.44,12.94,-3.96,12.08,-3.78,12.71,-5.03,10.2,-7.73,1892.0,797.0,85.0,398.0,513.0,23950,9400,9350,4675.0,2100.0,228.32,261.52,265.94,295.67,310.3,0.0,0.0,0.0
2004,6,1,17,15,11.46,-5.39,12.98,-3.96,12.04,-3.91,12.71,-4.85,10.11,-7.86,1148.0,215.0,698.0,538.0,559.0,25800,6575,9750,4600.0,7350.0,228.18,266.72,267.22,295.42,306.3,0.0,0.0,0.0
2004,6,1,17,30,12.0,-4.09,11.5,-5.35,12.98,-3.91,12.8,-5.17,15.1506,2.8195999999999994,1034.0,927.0,979.0,604.0,0.0,9650,7175,3525,11100.0,0.0,255.83,266.65,297.11,301.4,520.0,0.0,0.0,0.0
2004,6,1,17,45,12.08,-8.22,11.5,-5.35,12.8,-5.21,13.03,-3.87,10.06,-8.13,66.0,2153.0,1051.0,1004.0,1168.0,21075,35875,9075,8300.0,2425.0,170.07,222.8,253.93,266.65,298.8,0.0,0.0,0.0
2004,6,1,18,0,12.13,-8.18,11.86,-4.63,12.8,-5.35,10.02,-8.31,11.5,-5.35,121.0,836.0,634.0,1072.0,124.0,11000,29150,2400,9475.0,7175.0,170.41,220.29,249.19,266.65,284.81,0.0,0.0,0.0
2004,6,1,18,15,12.17,-8.18,11.41,-5.8,12.76,-5.71,11.86,-4.72,10.02,-8.45,124.0,2379.0,1181.0,633.0,1197.0,12400,47675,925,8975.0,25525.0,169.81,218.01,238.54,254.68,281.66,0.0,0.0,0.0
2004,6,1,18,30,12.0,-8.94,12.13,-8.27,11.41,-5.84,12.49,-4.72,10.65,-7.91,114.0,242.0,3111.0,1083.0,1786.0,14375,6325,13800,7800.0,31850.0,153.46,168.05,212.36,252.96,274.52,0.0,0.0,0.0
2004,6,1,18,45,12.04,-8.85,11.82,-3.69,11.46,-5.8,12.58,-4.81,10.6,-8.18,252.0,2230.0,1528.0,1614.0,638.0,11050,13500,6650,34250.0,2875.0,154.87,207.29,253.66,270.7,316.62,0.0,0.0,0.0
2004,6,1,19,0,12.04,-8.81,12.71,-4.85,11.82,-3.64,12.4,-4.05,10.6,-8.31,350.0,3377.0,1494.0,1984.0,1663.0,12500,12825,42225,150.0,2800.0,155.59,204.12,267.22,298.2,318.49,0.0,0.0,0.0
2004,6,1,19,15,12.04,-8.72,12.22,-5.17,10.56,-8.4,10.02,-8.9,10.65,-7.1,216.0,2485.0,3654.0,3740.0,1341.0,13875,12550,24875,1225.0,42925.0,157.76,203.83,209.4,232.88,262.23,0.0,0.0,0.0
2004,6,1,19,30,12.04,-8.72,12.26,-5.3,10.56,-8.54,10.02,-9.03,10.78,-7.68,206.0,2638.0,3865.0,4472.0,1931.0,15125,12900,21100,12900.0,29625.0,157.76,200.8,206.89,214.25,257.77,0.0,0.0,0.0
2004,6,1,19,45,12.04,-8.72,11.73,-9.39,12.26,-5.44,10.56,-8.63,10.78,-7.77,405.0,199.0,2756.0,4639.0,2187.0,11950,14350,8075,3750.0,25700.0,149.81,157.76,199.02,212.15,253.16,0.0,0.0,0.0
2004,6,1,20,0,12.08,-8.67,11.82,-9.35,10.87,-7.5,10.69,-7.91,10.56,-8.76,582.0,498.0,2888.0,2878.0,2438.0,4675,13250,7525,7025.0,825.0,148.68,157.88,196.12,211.62,216.45,0.0,0.0,0.0
2004,6,1,20,15,12.17,-8.58,11.77,-9.39,11.37,-6.79,10.56,-8.85,10.69,-7.91,603.0,558.0,2613.0,2778.0,2454.0,7425,11275,8175,1725.0,7475.0,148.22,158.14,194.43,211.62,225.87,0.0,0.0,0.0
2004,6,1,20,30,12.62,-6.88,11.77,-9.53,12.22,-8.54,10.69,-8.0,10.56,-8.9,620.0,771.0,4522.0,603.0,4159.0,10800,2875,7575,575.0,400.0,146.01,158.38,193.31,201.73,208.94,0.0,0.0,0.0
2004,6,1,20,45,12.53,-9.39,11.73,-9.62,12.35,-8.4,10.56,-8.9,10.78,-8.18,655.0,799.0,940.0,4540.0,5627.0,1875,13550,5400,7000.0,2200.0,128.7,145.09,159.2,193.31,201.97,0.0,0.0,0.0
2004,6,1,21,0,12.4,-8.4,12.58,-9.35,11.68,-9.7,10.56,-8.94,11.37,-7.01,725.0,953.0,690.0,7187.0,12311.0,4725,15700,2325,11450.0,13850.0,129.45,145.06,158.6,192.76,219.4,0.0,0.0,0.0
2004,6,1,21,15,11.46,-9.7,12.58,-9.48,12.76,-7.19,10.29,-9.57,10.51,-8.94,1088.0,1084.0,11567.0,1217.0,12613.0,6875,16850,475,300.0,11550.0,125.87,151.79,189.18,189.64,193.6,0.0,0.0,0.0
2004,6,1,21,30,10.47,-8.94,12.8,-7.14,11.41,-9.88,11.86,-9.03,12.53,-9.53,14613.0,9839.0,11005.0,9437.0,3919.0,9600,12700,3375,375.0,10200.0,125.87,149.09,154.31,189.69,194.73,0.0,0.0,0.0
2004,6,1,21,45,11.95,-8.94,12.49,-9.57,11.37,-9.97,10.42,-8.94,12.67,-7.77,842.0,1004.0,451.0,13292.0,8112.0,10200,14175,2450,5875.0,4850.0,125.94,149.41,154.18,172.41,195.58,0.0,0.0,0.0
2004,6,1,22,0,11.32,-10.15,11.64,-9.53,12.49,-9.53,10.33,-9.03,12.62,-7.82,1107.0,761.0,843.0,12219.0,10741.0,10100,14050,275,10775.0,9250.0,127.31,148.5,149.26,171.68,197.4,0.0,0.0,0.0
