year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5
2008,6,1,0,0,15.18,-13.12,15.81,-12.09,14.06,-15.5,15.86,-12.13,15.41,-11.95,2663.0,1696.0,2960.0,2500.0,3404.0,750,21650,275,275.0,2550.0,35.34,118.88,159.7,160.35,160.64
2008,6,1,0,15,15.27,-13.07,15.0,-11.95,14.0,-5.0,14.0,-5.0,14.0,-5.0,2301.0,3291.0,0.0,0.0,0.0,23075,875,0,0.0,0.0,121.28,157.28,400.0,400.0,400.0
2008,6,1,0,30,16.04,-12.4,15.05,-12.22,15.32,-13.07,14.0,-5.0,14.0,-5.0,3167.0,2887.0,2797.0,0.0,0.0,19475,19475,2275,0.0,0.0,121.75,148.49,153.21,400.0,400.0
2008,6,1,0,45,15.09,-13.57,14.73,-12.71,14.0,-5.0,14.0,-5.0,14.0,-5.0,3320.0,3494.0,0.0,0.0,0.0,4375,6525,0,0.0,0.0,103.37,129.39,400.0,400.0,400.0
2008,6,1,1,0,14.69,-12.71,15.23,-13.66,14.0,-5.0,14.0,-5.0,14.0,-5.0,2583.0,2193.0,0.0,0.0,0.0,5550,4425,0,0.0,0.0,101.65,129.25,400.0,400.0,400.0
2008,6,1,1,15,14.69,-12.67,15.27,-13.7,14.0,-5.0,14.0,-5.0,14.0,-5.0,1882.0,1058.0,0.0,0.0,0.0,6025,2800,0,0.0,0.0,100.96,130.25,400.0,400.0,400.0
2008,6,1,1,30,15.05,-11.68,15.27,-13.79,14.65,-12.58,15.63,-12.4,14.91,-13.43,1915.0,3364.0,2187.0,2585.0,1683.0,3250,2875,1375,2250.0,100.0,98.08,106.21,133.18,147.8,166.33
2008,6,1,1,45,14.96,-13.34,15.45,-12.49,15.27,-13.79,15.23,-12.8,14.56,-12.58,1976.0,1854.0,2500.0,2720.0,1969.0,2825,2675,975,250.0,650.0,98.08,109.33,129.84,133.06,142.37
2008,6,1,2,0,15.05,-11.86,14.96,-13.34,15.27,-13.79,15.23,-12.71,14.0,-5.0,2023.0,1893.0,2870.0,1530.0,0.0,2425,1600,1850,1425.0,0.0,98.08,109.33,132.77,160.51,400.0
2008,6,1,2,15,15.05,-11.82,15.36,-13.75,15.23,-12.76,15.0,-13.12,14.0,-5.0,2516.0,2924.0,2538.0,2120.0,0.0,1900,675,1275,2000.0,0.0,99.93,117.55,131.8,162.36,400.0
2008,6,1,2,30,15.0,-13.07,14.06,-12.35,15.18,-12.8,15.41,-13.75,15.18,-12.49,2293.0,1853.0,2130.0,3131.0,2017.0,1075,2275,2275,575.0,925.0,100.57,118.53,129.44,140.43,140.7
2008,6,1,2,45,14.06,-12.31,15.18,-12.44,15.18,-12.76,14.38,-12.85,13.88,-12.98,3177.0,2438.0,2030.0,2011.0,887.0,1075,1775,850,925.0,350.0,119.68,124.04,131.4,141.41,141.69
2008,6,1,3,0,13.79,-12.09,14.38,-12.85,15.05,-11.64,15.14,-12.4,13.93,-12.98,2960.0,2418.0,2661.0,2075.0,2551.0,1025,2825,1000,7200.0,1325.0,119.36,124.04,143.03,150.76,168.32
2008,6,1,3,15,13.84,-12.09,14.33,-12.89,14.0,-5.0,14.0,-5.0,14.0,-5.0,3299.0,2943.0,0.0,0.0,0.0,3425,9600,0,0.0,0.0,122.07,150.47,400.0,400.0,400.0
2008,6,1,3,30,14.38,-12.89,13.75,-13.16,13.84,-12.09,14.0,-5.0,14.0,-5.0,2506.0,2112.0,2761.0,0.0,0.0,1200,1775,11225,0.0,0.0,113.78,122.04,150.47,400.0,400.0
