year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5
2004,6,21,6,0,13.487959,-17.79259,14,-5,14,-5,14,-5,14,-5,3666.2764664586593,0,0,0,0,7468.294852802666,0,0,0,0,45.5412,430,430,430,430
2005,6,26,1,0,14.3973,-14.517421,14,-5,14,-5,14,-5,14,-5,3365.0661294168062,0,0,0,0,7382.52305695261,0,0,0,0,98.5089,430,430,430,430
2010,8,17,19,0,13.362942,-15.357321,14,-5,14,-5,14,-5,14,-5,3442.7006972592158,0,0,0,0,7413.694539440294,0,0,0,0,80.4487,430,430,430,430
2013,6,3,8,0,11.637189,-13.045832,14,-5,14,-5,14,-5,14,-5,3521.521724710638,0,0,0,0,7470.469878577933,0,0,0,0,177.2005,430,430,430,430
2008,7,19,17,0,12.397237,-15.865382,14,-5,14,-5,14,-5,14,-5,3539.300870294889,0,0,0,0,7533.670890739637,0,0,0,0,92.7847,430,430,430,430
2007,6,5,3,0,14.969071,-13.766863,14,-5,14,-5,14,-5,14,-5,3579.407774730779,0,0,0,0,7418.013780278664,0,0,0,0,125.4831,430,430,430,430
2017,7,16,3,0,11.07664,-13.891375,14,-5,14,-5,14,-5,14,-5,3516.3985424514544,0,0,0,0,7408.55447747774,0,0,0,0,167.9196,430,430,430,430
2004,8,7,22,0,11.475519,-11.717319,14,-5,14,-5,14,-5,14,-5,3333.5417883558675,0,0,0,0,7492.5940788647395,0,0,0,0,218.8333,430,430,430,430
2013,7,26,12,0,16.831802,-14.046105,14,-5,14,-5,14,-5,14,-5,3384.058452916557,0,0,0,0,7418.429897066573,0,0,0,0,141.5097,430,430,430,430
2015,8,1,13,0,16.772492,-17.362836,14,-5,14,-5,14,-5,14,-5,3472.4714951369774,0,0,0,0,7395.503016263882,0,0,0,0,71.7008,430,430,430,430
