year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5
2015,7,27,9,0,13.487959,-17.79259,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,45.5412,430,430,430,430
2010,7,21,0,0,14.3973,-14.517421,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,98.5089,430,430,430,430
2006,9,18,23,0,13.362942,-15.357321,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,80.4487,430,430,430,430
2017,6,23,2,0,11.637189,-13.045832,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,177.2005,430,430,430,430
2005,6,25,4,0,12.397237,-15.865382,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,92.7847,430,430,430,430
2014,9,16,22,0,14.969071,-13.766863,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,125.4831,430,430,430,430
2008,9,2,14,0,11.07664,-13.891375,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,167.9196,430,430,430,430
2013,7,17,1,0,11.475519,-11.717319,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,218.8333,430,430,430,430
2016,9,12,20,0,16.831802,-14.046105,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,141.5097,430,430,430,430
2010,8,17,17,0,16.772492,-17.362836,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,71.7008,430,430,430,430
2013,9,11,12,0,14.041969,-17.477708,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,24.1868,430,430,430,430
2015,6,21,6,0,13.424979,-17.227753,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,45.1774,430,430,430,430
2013,8,26,16,0,11.01728,-13.226038,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,185.3106,430,430,430,430
2016,7,23,2,0,11.808096,-17.144435,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,102.0196,430,430,430,430
2015,9,13,0,0,11.76245,-15.20139,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,123.422,430,430,430,430
2015,6,4,12,0,13.7423,-16.386054,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,46.669,430,430,430,430
2009,6,5,2,0,15.123254,-14.135441,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,114.1271,430,430,430,430
2015,7,19,6,0,14.041894,-14.904859,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,86.8332,430,430,430,430
2018,7,30,13,0,16.3491,-13.359967,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,153.7693,430,430,430,430
2008,8,8,1,0,11.298389,-12.393981,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,202.0396,430,430,430,430
2009,7,7,21,0,17.716409,-13.999933,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,163.2483,430,430,430,430
2005,8,11,17,0,17.116161,-15.267091,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,116.0,430,430,430,430
2013,7,4,23,0,14.537153,-14.579632,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,96.1301,430,430,430,430
2008,9,19,23,0,13.493978,-11.787527,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,193.1864,430,430,430,430
2018,8,28,16,0,14.284833,-10.370062,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,240.2998,430,430,430,430
2004,7,30,6,0,14.353665,-17.343241,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,13.3417,430,430,430,430
2009,9,23,21,0,12.930739,-11.193196,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,217.4419,430,430,430,430
2017,7,20,5,0,13.2502,-17.782381,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,53.1601,430,430,430,430
2015,9,5,5,0,11.977418,-17.462845,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,96.3328,430,430,430,430
2007,7,22,22,0,17.950816,-10.235357,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,277.9101,430,430,430,430
2010,8,5,20,0,16.402067,-13.185463,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,160.0781,430,430,430,430
2016,9,25,8,0,16.119679,-16.646196,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,57.9828,430,430,430,430
2004,9,12,21,0,12.344186,-13.807465,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,142.3025,430,430,430,430
2015,7,31,16,0,12.852994,-17.634568,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,66.0984,430,430,430,430
2016,6,30,11,0,17.865228,-14.469161,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,154.858,430,430,430,430
2016,6,7,0,0,14.032004,-15.411669,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,69.8928,430,430,430,430
2016,6,1,10,0,12.077958,-14.904881,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,120.5073,430,430,430,430
2013,9,13,1,0,16.656135,-12.106024,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,198.736,430,430,430,430
2006,6,1,2,0,13.033685,-17.895861,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,62.2977,430,430,430,430
2018,6,13,11,0,16.37924,-15.84489,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,82.7345,430,430,430,430
2009,6,28,9,0,14.661479,-17.795592,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,11.1803,430,430,430,430
2012,9,30,5,0,15.297616,-14.899813,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,89.7385,430,430,430,430
2019,9,18,7,0,13.97659,-14.680753,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,94.1116,430,430,430,430
2016,8,26,15,0,12.806975,-13.592177,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,140.89,430,430,430,430
2018,7,11,9,0,17.783286,-17.09779,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,107.28,430,430,430,430
2013,6,20,3,0,12.506068,-17.665618,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,78.2624,430,430,430,430
2005,9,13,4,0,15.907198,-12.739901,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,167.6097,430,430,430,430
2005,9,2,17,0,11.717086,-14.665972,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,134.9518,430,430,430,430
2017,6,19,15,0,15.150735,-12.708149,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,162.0031,430,430,430,430
2007,7,24,13,0,11.363817,-10.946782,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,243.8237,430,430,430,430
2019,6,20,0,0,16.224065,-16.928366,14,-5,14,-5,14,-5,14,-5,2266.0,0,0,0,0,5000.0,0,0,0,0,57.3847,430,430,430,430
