year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5
2004,6,21,6,0,14.34724,-15.773045,13.396141,-11.241791,14,-5,14,-5,14,-5,3391.5338962272863,3365.803134635322,0,0,0,7666.922562549614,7636.594875982484,0,0,0,56.2939,212.3982,430,430,430
2005,6,26,1,0,10.037751,-17.027447,15.365993,-11.393178,14,-5,14,-5,14,-5,3486.1998552963073,3326.7965099318276,0,0,0,7534.474468081135,7347.119636302275,0,0,0,165.0121,208.5042,430,430,430
2010,8,17,19,0,11.093653,-13.399253,17.130576,-16.326383,14,-5,14,-5,14,-5,3549.937538147295,3318.8194474488264,0,0,0,7593.109279302535,7577.21761412074,0,0,0,179.6107,95.2943,430,430,430
2013,6,3,8,0,11.482626,-17.132985,11.75758,-10.17101,14,-5,14,-5,14,-5,3555.2590168503093,3425.5786164427573,0,0,0,7338.774744423327,7434.113011056199,0,0,0,113.0044,263.1539,430,430,430
2008,7,19,17,0,16.493465,-16.624472,16.529798,-15.80741,14,-5,14,-5,14,-5,3319.011039199449,3497.6478800330588,0,0,0,7386.502011614484,7510.797466427816,0,0,0,70.2353,87.6926,430,430,430
2007,6,5,3,0,13.453633,-10.479761,16.541195,-15.311104,14,-5,14,-5,14,-5,3407.3532688943933,3367.4639773484423,0,0,0,7478.177785569909,7443.020437828991,0,0,0,238.5498,100.1249,430,430,430
2017,7,16,3,0,11.403284,-15.017344,10.045508,-15.980589,14,-5,14,-5,14,-5,3405.339389141282,3343.2756377127985,0,0,0,7535.847829142709,7491.438442440393,0,0,0,136.2131,168.122,430,430,430
2004,8,7,22,0,16.3653,-17.87796,14.790747,-13.169564,14,-5,14,-5,14,-5,3577.4415496413126,3294.6192828128883,0,0,0,7466.75131442094,7384.946041917525,0,0,0,57.5587,145.0862,430,430,430
2013,7,26,12,0,10.841181,-14.944452,10.291808,-10.876707,14,-5,14,-5,14,-5,3422.8154698441253,3496.2487141735373,0,0,0,7470.434136187619,7350.297439395504,0,0,0,154.4345,265.2772,430,430,430
2015,8,1,13,0,17.847367,-17.520464,17.124368,-13.384788,14,-5,14,-5,14,-5,3518.1501431112806,3421.8730005478023,0,0,0,7471.822711136703,7459.313097100868,0,0,0,107.3778,166.355,430,430,430
2017,7,27,14,0,15.939838,-12.958529,14.654738,-17.836487,14,-5,14,-5,14,-5,3448.839725461483,3453.3086103183095,0,0,0,7483.885815752909,7379.26467843138,0,0,0,161.4001,13.1529,430,430,430
2008,6,25,14,0,11.680213,-13.642521,16.152921,-15.994438,14,-5,14,-5,14,-5,3456.2276877238437,3438.492744817901,0,0,0,7534.491835820554,7292.015500133367,0,0,0,160.2061,72.8629,430,430,430
2017,7,28,0,0,12.287166,-11.180839,17.800052,-10.921174,14,-5,14,-5,14,-5,3410.928694196346,3463.8212584936787,0,0,0,7413.3776418874395,7612.3332864021495,0,0,0,223.58,253.6178,430,430,430
