year,month,day,hour,minute,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,wp1,wp2,wp3,wp4,wp5,size1,size2,size3,size4,size5,ds1,ds2,ds3,ds4,ds5
2004,6,21,6,0,14.34724,-15.773045,13.396141,-11.241791,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,56.2939,212.3982,430,430,430
2005,6,26,1,0,10.037751,-17.027447,15.365993,-11.393178,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,165.0121,208.5042,430,430,430
2010,8,17,19,0,11.093653,-13.399253,17.130576,-16.326383,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,179.6107,95.2943,430,430,430
2013,6,3,8,0,11.482626,-17.132985,11.75758,-10.17101,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,113.0044,263.1539,430,430,430
2008,7,19,17,0,16.493465,-16.624472,16.529798,-15.80741,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,70.2353,87.6926,430,430,430
2007,6,5,3,0,13.453633,-10.479761,16.541195,-15.311104,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,238.5498,100.1249,430,430,430
2017,7,16,3,0,11.403284,-15.017344,10.045508,-15.980589,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,136.2131,168.122,430,430,430
2004,8,7,22,0,16.3653,-17.87796,14.790747,-13.169564,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,57.5587,145.0862,430,430,430
2013,7,26,12,0,10.841181,-14.944452,10.291808,-10.876707,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,154.4345,265.2772,430,430,430
2015,8,1,13,0,17.847367,-17.520464,17.124368,-13.384788,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,107.3778,166.355,430,430,430
2017,7,27,14,0,15.939838,-12.958529,14.654738,-17.836487,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,161.4001,13.1529,430,430,430
2008,6,25,14,0,11.680213,-13.642521,16.152921,-15.994438,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,160.2061,72.8629,430,430,430
2017,7,28,0,0,12.287166,-11.180839,17.800052,-10.921174,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,223.58,253.6178,430,430,430
2010,6,23,21,0,12.876063,-13.209128,12.838365,-15.278478,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,152.2005,94.0691,430,430,430
2012,8,3,0,0,11.424648,-16.098446,10.358898,-13.956549,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,120.5031,186.4618,430,430,430
2011,8,19,15,0,13.01002,-13.257557,15.039535,-16.859197,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,148.7716,23.7065,430,430,430
2012,7,17,14,0,17.47073,-10.428961,14.818373,-14.89787,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,263.8731,86.1452,430,430,430
2018,7,16,14,0,12.905504,-16.365238,12.21412,-16.027713,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,70.214,96.1769,430,430,430
2004,7,22,2,0,11.388864,-10.267122,17.656101,-13.216211,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,264.7961,182.784,430,430,430
2013,6,23,11,0,15.850406,-15.276918,10.736445,-14.292016,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,86.3539,169.4993,430,430,430
2008,8,3,13,0,14.069591,-17.292319,14.224282,-10.062736,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,22.2036,251.3901,430,430,430
2010,6,14,6,0,13.160287,-15.315228,16.443604,-11.965208,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,85.4283,199.86,430,430,430
2012,6,19,22,0,12.504532,-12.927707,14.323237,-15.62565,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,165.9187,61.3922,430,430,430
2005,7,14,16,0,10.886303,-15.498878,13.655833,-12.728479,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,145.2309,160.854,430,430,430
2014,8,15,5,0,12.03406,-12.87119,11.600989,-12.739002,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,175.1142,185.8844,430,430,430
2010,6,15,9,0,16.226314,-11.763213,14.882625,-15.527997,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,203.5706,65.3758,430,430,430
2015,8,14,9,0,15.581879,-11.123054,15.00259,-10.140737,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,219.4949,249.3391,430,430,430
2016,6,3,7,0,17.812001,-16.666447,10.185425,-16.714044,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,113.2166,159.5306,430,430,430
2011,7,1,19,0,17.387975,-10.371601,11.687827,-15.115798,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,264.6394,126.7517,430,430,430
2008,6,30,5,0,14.395002,-15.825353,13.684813,-12.430707,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,53.9351,170.4259,430,430,430
2016,6,5,4,0,14.002847,-12.271432,14.207647,-17.988808,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,175.5135,26.1725,430,430,430
2011,7,2,18,0,13.157602,-14.062664,13.223043,-15.165614,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,122.1024,88.2326,430,430,430
2018,6,19,1,0,14.004915,-14.438587,10.723462,-15.811497,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,101.6366,147.0544,430,430,430
2011,6,16,15,0,17.547817,-17.787643,10.31999,-15.734877,14,-5,14,-5,14,-5,2266.0,2266.0,0,0,0,5000.0,5000.0,0,0,0,97.0052,161.0124,430,430,430
